NORM_D	NORM_A	is_border
3.632393005	0.809090865	1
3.463921052	2.650963606	1
3.353662462	1.89629899	1
1.092005238	-0.202696641	1
2.888073387	0.501073881	1
2.770952965	3.064131944	1
1.012570534	0.624007324	1
0.201218501	-0.264000164	1
1.521761426	0.206590181	1
1.935342287	0.83935681	1
1.661732035	1.753452358	1
2.357989302	2.183261524	1
0.261248437	-0.293885587	1
0.21782974	-0.309961682	1
0.003759598	-0.310853664	1
6.568909741	7.381550905	1
4.000650429	3.535386442	1
5.434083799	2.321109248	1
0.308890059	-0.163902409	1
0.092976809	-0.285976299	1
3.42160976	1.042716219	1
2.168657527	3.459991927	1
