EXP_ID	FILES_KEY	CLASS	NUCL.dna.AREA	NUCL.dna.FERET	NUCL.dna.X	NUCL.dna.Y	VORO.protein3.AREA	VORO.protein3.FERET	VORO.protein3.ROUND	VORO.protein3.AR	VORO.protein3.CENTRE_X	VORO.protein3.CENTRE_Y	CYTO.protein3.AREA
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	2529	64.4981	761.9255	1710.1338	11315	179.3237	0.6533	1.5306	788.1004	1704.9078	6210
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1534	52.2015	845.7392	1594.0567	16456	218.2132	0.5595	1.7874	880.1404	1639.5621	5381
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1494	50.2494	997.9257	1550.4224	27388	291.5956	0.4357	2.2951	1002.7882	1645.0845	5613
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1388	46.8722	1087.6635	1531.6499	38893	279.0788	0.7098	1.4089	1139.4096	1629.3322	7146
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1489	54.0833	1409.134	1559.5322	18572	247.8245	0.3986	2.509	1342.5736	1600.4366	4589
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1735	54.3783	1341.1859	1464.9882	16590	203.7891	0.5937	1.6842	1300.1671	1509.6538	5340
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1071	46.3249	1449.824	1636.3254	10210	195.4891	0.4331	2.3088	1397.6341	1659.0972	4476
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1255	44.4185	1389.2649	1815.2904	31856	297.6995	0.5054	1.9785	1306.8252	1766.0945	5705
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1303	47.8539	1373.2291	1884.1239	10338	216.1712	0.3219	3.1065	1312.5994	1862.8579	3919
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1407	48.0104	1330.2079	1959.537	8355	169.5936	0.5237	1.9094	1311.1358	1949.8968	449
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1772	53.7587	1239.8792	1994.2607	15151	260.9464	0.3612	2.7689	1238.9507	1953.5603	8048
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1380	54.3323	1884.792	1431.279	17674	211.6247	0.5687	1.7584	1952.8098	1421.0865	3158
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1891	53.6004	1848.7644	1368.6465	6781	157.8765	0.5084	1.9671	1852.0374	1367.789	4611
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1056	42.5793	1874.0009	1305.8987	5663	156.157	0.3946	2.5341	1894.7292	1317.8701	3347
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t60_ctrl20	EDGE	1034	43.9318	1914.9052	1261.0948	13123	188.8624	0.5039	1.9847	1976.6394	1297.8943	2834
